      Sub      image     Region    pcs_Peak pcs_ContrastSum   pcs_bmean       Voxel      Mean       Std       RMS    Trimmean      90ile      %Vox>1%      AbsMax
      S01       con_0009       inner      NaN       NaN       NaN    45.9660   -0.0337    0.1344    0.1385   -0.0323    0.1383    0.0196    1.9852
      S01       con_0009       outer      NaN       NaN       NaN    12.2100   -0.0792    0.2015    0.2165   -0.0786    0.1803    0.1638    2.5217
      S01       con_0010       total   0.2100    6.0000  175.0234    58.1760    0.0604    0.1408    0.1532    0.0592    0.1612    0.0017    2.5692
      S01       con_0010       inner      NaN       NaN       NaN    45.9660    0.0578    0.1239    0.1367    0.0551    0.1510    0.0000    2.1052
      S01       con_0010       outer      NaN       NaN       NaN    12.2100    0.0704    0.1912    0.2037    0.0751    0.2008    0.0082    2.5692
      S01       con_0011       total   0.2100    6.0000  175.0234    58.1760    0.1635    0.3618    0.3971    0.1483    0.4565    2.8087    4.8921
      S01       con_0011       inner      NaN       NaN       NaN    45.9660    0.1377    0.3254    0.3534    0.1216    0.4109    2.0058    4.6462
      S01       con_0011       outer      NaN       NaN       NaN    12.2100    0.2609    0.4617    0.5303    0.2567    0.5569    5.8313    4.8921
      S01       con_0012       total   0.2100    6.0000  175.0234    58.1760    0.1635    0.3618    0.3971    0.1483    0.4565    2.8087    4.8921
      S01       con_0012       inner      NaN       NaN       NaN    45.9660    0.1377    0.3254    0.3534    0.1216    0.4109    2.0058    4.6462
      S01       con_0012       outer      NaN       NaN       NaN    12.2100    0.2609    0.4617    0.5303    0.2567    0.5569    5.8313    4.8921
      S01       con_0013       total   0.2100    6.0000  175.0234    58.1760    0.0565    0.1474    0.1579    0.0551    0.1651    0.0120    2.7768
      S01       con_0013       inner      NaN       NaN       NaN    45.9660    0.0499    0.1293    0.1385    0.0482    0.1534    0.0022    2.2311
      S01       con_0013       outer      NaN       NaN       NaN    12.2100    0.0816    0.1995    0.2156    0.0839    0.2088    0.0491    2.7768
      S01       con_0014       total   0.2100    6.0000  175.0234    58.1760    0.0725    0.2085    0.2208    0.0652    0.2481    0.3094    2.0949
      S01       con_0014       inner      NaN       NaN       NaN    45.9660    0.0708    0.1860    0.1990    0.0644    0.2317    0.1327    1.5793
      S01       con_0014       outer      NaN       NaN       NaN    12.2100    0.0789    0.2773    0.2884    0.0685    0.3236    0.9746    2.0949
      S01       con_0015       total   0.2100    6.0000  175.0234    58.1760   -0.0342    0.1867    0.1898   -0.0347    0.1982    0.1289    1.8435
      S01       con_0015       inner      NaN       NaN       NaN    45.9660   -0.0371    0.1669    0.1710   -0.0367    0.1849    0.0587    1.5630
      S01       con_0015       outer      NaN       NaN       NaN    12.2100   -0.0231    0.2471    0.2481   -0.0255    0.2588    0.3931    1.8435
      S01       con_0016       total   0.2100    6.0000  175.0234    58.1760    0.1635    0.3618    0.3971    0.1483    0.4565    2.8087    4.8921
      S01       con_0016       inner      NaN       NaN       NaN    45.9660    0.1377    0.3254    0.3534    0.1216    0.4109    2.0058    4.6462
      S01       con_0016       outer      NaN       NaN       NaN    12.2100    0.2609    0.4617    0.5303    0.2567    0.5569    5.8313    4.8921
      S01       con_0017       total   0.2100    6.0000  175.0234    58.1760    0.0719    0.4088    0.4150    0.0625    0.4976    2.5612    3.4819
      S01       con_0017       inner      NaN       NaN       NaN    45.9660    0.0555    0.3822    0.3862    0.0462    0.4713    1.9993    3.4819
      S01       con_0017       outer      NaN       NaN       NaN    12.2100    0.1336    0.4913    0.5092    0.1282    0.5999    4.6765    2.9251
      S01       con_0018       total   0.2100    6.0000  175.0234    58.1760    0.0565    0.1474    0.1579    0.0551    0.1651    0.0120    2.7768
      S01       con_0018       inner      NaN       NaN       NaN    45.9660    0.0499    0.1293    0.1385    0.0482    0.1534    0.0022    2.2311
      S01       con_0018       outer      NaN       NaN       NaN    12.2100    0.0816    0.1995    0.2156    0.0839    0.2088    0.0491    2.7768
      S01          ResMS       total   0.2100    6.0000  175.0234    58.1760    0.5657    0.2988    0.6398    0.5289    0.3497    6.6539    5.3111
      S01          ResMS       inner      NaN       NaN       NaN    45.9660    0.5085    0.2231    0.5553    0.4830    0.2681    3.3786    4.0682
      S01          ResMS       outer      NaN       NaN       NaN    12.2100    0.7809    0.4235    0.8884    0.7324    0.5088   18.9844    5.3111
      S02       con_0001       total   0.2000    6.0000  165.0160    56.5480    0.0437    0.1624    0.1682    0.0309    0.1680    0.3431    2.3631
      S02       con_0001       inner      NaN       NaN       NaN    43.9420    0.0328    0.1325    0.1365    0.0246    0.1446    0.1388    2.0254
      S02       con_0001       outer      NaN       NaN       NaN    12.6060    0.0817    0.2350    0.2488    0.0605    0.2655    1.0551    2.3631
      S02       con_0002       total   0.2000    6.0000  165.0160    56.5480    0.0403    0.1704    0.1751    0.0291    0.1800    0.3307    1.9027
      S02       con_0002       inner      NaN       NaN       NaN    43.9420    0.0300    0.1426    0.1457    0.0225    0.1543    0.1343    1.9027
      S02       con_0002       outer      NaN       NaN       NaN    12.6060    0.0761    0.2401    0.2518    0.0585    0.2758    1.0154    1.8738
      S02       con_0003       total   0.2000    6.0000  165.0160    56.5480   -0.0467    0.1770    0.1831   -0.0346    0.1588    0.0000    2.4154
      S02       con_0003       inner      NaN       NaN       NaN    43.9420   -0.0290    0.1449    0.1477   -0.0221    0.1448    0.0000    1.8999
      S02       con_0003       outer      NaN       NaN       NaN    12.6060   -0.1081    0.2502    0.2726   -0.0890    0.2213    0.0000    2.4154
      S02       con_0004       total   0.2000    6.0000  165.0160    56.5480   -0.1185    0.2157    0.2461   -0.1156    0.2199    0.0796    1.7674
      S02       con_0004       inner      NaN       NaN       NaN    43.9420   -0.1124    0.2005    0.2299   -0.1078    0.2050    0.0614    1.7674
      S02       con_0004       outer      NaN       NaN       NaN    12.6060   -0.1395    0.2606    0.2956   -0.1429    0.2783    0.1428    1.6134
      S02       con_0005       total   0.2000    6.0000  165.0160    56.5480   -0.0739    0.2315    0.2430   -0.0734    0.2413    0.1203    1.7281
      S02       con_0005       inner      NaN       NaN       NaN    43.9420   -0.0594    0.2022    0.2108   -0.0587    0.2137    0.0523    1.6555
      S02       con_0005       outer      NaN       NaN       NaN    12.6060   -0.1241    0.3075    0.3316   -0.1286    0.3617    0.3570    1.7281
      S02       con_0006       total   0.2000    6.0000  165.0160    56.5480    0.1418    0.2401    0.2789    0.1323    0.3290    0.3908    1.5944
      S02       con_0006       inner      NaN       NaN       NaN    43.9420    0.1190    0.2144    0.2452    0.1104    0.2971    0.1639    1.5099
      S02       con_0006       outer      NaN       NaN       NaN    12.6060    0.2215    0.3005    0.3733    0.2163    0.3996    1.1820    1.5944
      S02       con_0007       total   0.2000    6.0000  165.0160    56.5480    0.1227    0.1886    0.2250    0.1139    0.2498    0.1450    2.3003
      S02       con_0007       inner      NaN       NaN       NaN    43.9420    0.1078    0.1609    0.1937    0.1010    0.2203    0.0046    1.1027
      S02       con_0007       outer      NaN       NaN       NaN    12.6060    0.1747    0.2564    0.3103    0.1652    0.3280    0.6346    2.3003
      S02       con_0008       total   0.2000    6.0000  165.0160    56.5480    0.0895    0.2024    0.2213    0.0837    0.2435    0.2104    2.1149
      S02       con_0008       inner      NaN       NaN       NaN    43.9420    0.0696    0.1650    0.1791    0.0673    0.2047    0.0228    1.2409
      S02       con_0008       outer      NaN       NaN       NaN    12.6060    0.1589    0.2874    0.3284    0.1532    0.3511    0.8647    2.1149
      S02       con_0009       total   0.2000    6.0000  165.0160    56.5480    0.1061    0.1823    0.2109    0.0990    0.2299    0.1485    1.9590
      S02       con_0009       inner      NaN       NaN       NaN    43.9420    0.0887    0.1500    0.1743    0.0844    0.1946    0.0091    1.1069
      S02       con_0009       outer      NaN       NaN       NaN    12.6060    0.1668    0.2566    0.3061    0.1591    0.3197    0.6346    1.9590
      S02       con_0010       total   0.2000    6.0000  165.0160    56.5480   -0.1412    0.2552    0.2917   -0.1250    0.2439    0.0106    2.6846
      S02       con_0010       inner      NaN       NaN       NaN    43.9420   -0.1084    0.2108    0.2370   -0.0976    0.2164    0.0000    1.5806
      S02       con_0010       outer      NaN       NaN       NaN    12.6060   -0.2558    0.3470    0.4311   -0.2383    0.3576    0.0476    2.6846
      S02       con_0011       total   0.2000    6.0000  165.0160    56.5480   -0.0886    0.3264    0.3382   -0.0631    0.2756    0.0141    4.4797
      S02       con_0011       inner      NaN       NaN       NaN    43.9420   -0.0604    0.2655    0.2723   -0.0441    0.2470    0.0023    3.8640
      S02       con_0011       outer      NaN       NaN       NaN    12.6060   -0.1870    0.4687    0.5046   -0.1474    0.4035    0.0555    4.4797
      S02       con_0012       total   0.2000    6.0000  165.0160    56.5480   -0.0886    0.3264    0.3382   -0.0631    0.2756    0.0141    4.4797
      S02       con_0012       inner      NaN       NaN       NaN    43.9420   -0.0604    0.2655    0.2723   -0.0441    0.2470    0.0023    3.8640
      S02       con_0012       outer      NaN       NaN       NaN    12.6060   -0.1870    0.4687    0.5046   -0.1474    0.4035    0.0555    4.4797
      S02       con_0013       total   0.2000    6.0000  165.0160    56.5480   -0.1484    0.2559    0.2958   -0.1348    0.2513    0.0106    2.7862
      S02       con_0013       inner      NaN       NaN       NaN    43.9420   -0.1182    0.2108    0.2417   -0.1095    0.2222    0.0023    1.6125
      S02       con_0013       outer      NaN       NaN       NaN    12.6060   -0.2535    0.3532    0.4348   -0.2393    0.3764    0.0397    2.7862
      S02       con_0014       total   0.2000    6.0000  165.0160    56.5480    0.0116    0.1394    0.1399    0.0049    0.1525    0.0778    1.4863
      S02       con_0014       inner      NaN       NaN       NaN    43.9420    0.0066    0.1278    0.1280    0.0013    0.1368    0.0683    1.4863
      S02       con_0014       outer      NaN       NaN       NaN    12.6060    0.0290    0.1727    0.1752    0.0203    0.2130    0.1111    1.4114
      S02       con_0015       total   0.2000    6.0000  165.0160    56.5480    0.0516    0.1698    0.1775    0.0487    0.2031    0.0424    1.6682
      S02       con_0015       inner      NaN       NaN       NaN    43.9420    0.0537    0.1472    0.1567    0.0500    0.1873    0.0023    1.1061
      S02       con_0015       outer      NaN       NaN       NaN    12.6060    0.0442    0.2318    0.2360    0.0420    0.2690    0.1825    1.6682
      S02       con_0016       total   0.2000    6.0000  165.0160    56.5480   -0.0886    0.3264    0.3382   -0.0631    0.2756    0.0141    4.4797
      S02       con_0016       inner      NaN       NaN       NaN    43.9420   -0.0604    0.2655    0.2723   -0.0441    0.2470    0.0023    3.8640
      S02       con_0016       outer      NaN       NaN       NaN    12.6060   -0.1870    0.4687    0.5046   -0.1474    0.4035    0.0555    4.4797
      S02       con_0017       total   0.2000    6.0000  165.0160    56.5480    0.2380    0.4342    0.4952    0.2273    0.5820    5.2486    2.7885
      S02       con_0017       inner      NaN       NaN       NaN    43.9420    0.2049    0.3909    0.4413    0.1941    0.5260    3.4432    2.5443
      S02       con_0017       outer      NaN       NaN       NaN    12.6060    0.3533    0.5443    0.6489    0.3523    0.6945   11.5421    2.7885
      S02       con_0018       total   0.2000    6.0000  165.0160    56.5480   -0.1484    0.2559    0.2958   -0.1348    0.2513    0.0106    2.7862
      S02       con_0018       inner      NaN       NaN       NaN    43.9420   -0.1182    0.2108    0.2417   -0.1095    0.2222    0.0023    1.6125
      S02       con_0018       outer      NaN       NaN       NaN    12.6060   -0.2535    0.3532    0.4348   -0.2393    0.3764    0.0397    2.7862
      S02          ResMS       total   0.2000    6.0000  165.0160    56.5480    0.6128    0.2596    0.6655    0.5844    0.3468    7.6059    5.2837
      S02          ResMS       inner      NaN       NaN       NaN    43.9420    0.5421    0.1666    0.5671    0.5268    0.2299    1.9412    2.1799
      S02          ResMS       outer      NaN       NaN       NaN    12.6060    0.8590    0.3572    0.9303    0.8323    0.4557   27.3521    5.2837
      S03       con_0001       total   0.2000    5.0000  160.7349    54.3590    0.0172    0.1615    0.1624    0.0140    0.1942    0.0570    1.7434
      S03       con_0001       inner      NaN       NaN       NaN    42.3900    0.0021    0.1434    0.1434    0.0013    0.1766    0.0000    0.8039
      S03       con_0001       outer      NaN       NaN       NaN    11.9690    0.0707    0.2048    0.2166    0.0649    0.2494    0.2590    1.7434
      S03       con_0002       total   0.2000    5.0000  160.7349    54.3590    0.0178    0.1573    0.1583    0.0167    0.1902    0.0202    1.4236
      S03       con_0002       inner      NaN       NaN       NaN    42.3900    0.0107    0.1475    0.1479    0.0104    0.1815    0.0047    1.1977
      S03       con_0002       outer      NaN       NaN       NaN    11.9690    0.0429    0.1857    0.1906    0.0412    0.2211    0.0752    1.4236
      S03       con_0003       total   0.2000    5.0000  160.7349    54.3590   -0.0056    0.1832    0.1832   -0.0039    0.2108    0.0018    1.2250
      S03       con_0003       inner      NaN       NaN       NaN    42.3900    0.0007    0.1744    0.1744    0.0018    0.2023    0.0024    1.1710
      S03       con_0003       outer      NaN       NaN       NaN    11.9690   -0.0279    0.2098    0.2117   -0.0256    0.2424    0.0000    1.2250
      S03       con_0004       total   0.2000    5.0000  160.7349    54.3590    0.0684    0.2034    0.2145    0.0605    0.2511    0.1711    1.7850
      S03       con_0004       inner      NaN       NaN       NaN    42.3900    0.0542    0.1799    0.1879    0.0476    0.2278    0.0212    1.3291
      S03       con_0004       outer      NaN       NaN       NaN    11.9690    0.1186    0.2645    0.2898    0.1111    0.3237    0.7018    1.7850
      S03       con_0005       total   0.2000    5.0000  160.7349    54.3590    0.0921    0.2050    0.2248    0.0878    0.2562    0.0846    1.7149
      S03       con_0005       inner      NaN       NaN       NaN    42.3900    0.0878    0.1876    0.2072    0.0824    0.2436    0.0165    1.1383
      S03       con_0005       outer      NaN       NaN       NaN    11.9690    0.1073    0.2568    0.2783    0.1068    0.3025    0.3258    1.7149
      S03       con_0006       total   0.2000    5.0000  160.7349    54.3590   -0.0849    0.2285    0.2438   -0.0823    0.2539    0.0607    1.9154
      S03       con_0006       inner      NaN       NaN       NaN    42.3900   -0.0811    0.2109    0.2259   -0.0780    0.2396    0.0118    1.1924
      S03       con_0006       outer      NaN       NaN       NaN    11.9690   -0.0983    0.2818    0.2984   -0.0974    0.3197    0.2339    1.9154
      S03       con_0007       total   0.2000    5.0000  160.7349    54.3590   -0.0512    0.2636    0.2685   -0.0469    0.2906    0.1325    1.7759
      S03       con_0007       inner      NaN       NaN       NaN    42.3900   -0.0521    0.2454    0.2509   -0.0466    0.2752    0.0307    1.4828
      S03       con_0007       outer      NaN       NaN       NaN    11.9690   -0.0479    0.3198    0.3234   -0.0465    0.3599    0.4929    1.7759
      S03       con_0008       total   0.2000    5.0000  160.7349    54.3590   -0.0743    0.2685    0.2786   -0.0700    0.2890    0.1656    1.9990
      S03       con_0008       inner      NaN       NaN       NaN    42.3900   -0.0771    0.2499    0.2615   -0.0705    0.2755    0.0377    1.5862
      S03       con_0008       outer      NaN       NaN       NaN    11.9690   -0.0643    0.3257    0.3320   -0.0648    0.3639    0.6183    1.9990
      S03       con_0009       total   0.2000    5.0000  160.7349    54.3590   -0.0627    0.2558    0.2634   -0.0584    0.2763    0.1417    1.8168
      S03       con_0009       inner      NaN       NaN       NaN    42.3900   -0.0646    0.2385    0.2471   -0.0584    0.2622    0.0330    1.4761
      S03       con_0009       outer      NaN       NaN       NaN    11.9690   -0.0561    0.3095    0.3146   -0.0562    0.3401    0.5264    1.8168
      S03       con_0010       total   0.2000    5.0000  160.7349    54.3590    0.0793    0.2917    0.3023    0.0752    0.3498    0.5629    2.3978
      S03       con_0010       inner      NaN       NaN       NaN    42.3900    0.0818    0.2790    0.2907    0.0771    0.3415    0.4411    1.7875
      S03       con_0010       outer      NaN       NaN       NaN    11.9690    0.0704    0.3328    0.3402    0.0672    0.3822    0.9942    2.3978
      S03       con_0011       total   0.2000    5.0000  160.7349    54.3590   -0.0231    0.3103    0.3111   -0.0180    0.3592    0.1306    2.4037
      S03       con_0011       inner      NaN       NaN       NaN    42.3900   -0.0057    0.2933    0.2933   -0.0025    0.3459    0.1156    1.7805
      S03       con_0011       outer      NaN       NaN       NaN    11.9690   -0.0847    0.3574    0.3673   -0.0776    0.4049    0.1838    2.4037
      S03       con_0012       total   0.2000    5.0000  160.7349    54.3590   -0.0231    0.3103    0.3111   -0.0180    0.3592    0.1306    2.4037
      S03       con_0012       inner      NaN       NaN       NaN    42.3900   -0.0057    0.2933    0.2933   -0.0025    0.3459    0.1156    1.7805
      S03       con_0012       outer      NaN       NaN       NaN    11.9690   -0.0847    0.3574    0.3673   -0.0776    0.4049    0.1838    2.4037
      S03       con_0013       total   0.2000    5.0000  160.7349    54.3590    0.0710    0.2647    0.2741    0.0668    0.3187    0.3550    2.0226
      S03       con_0013       inner      NaN       NaN       NaN    42.3900    0.0732    0.2514    0.2618    0.0677    0.3115    0.2453    1.4928
      S03       con_0013       outer      NaN       NaN       NaN    11.9690    0.0633    0.3071    0.3135    0.0617    0.3485    0.7436    2.0226
      S03       con_0014       total   0.2000    5.0000  160.7349    54.3590   -0.0015    0.1568    0.1569    0.0009    0.1667    0.0221    1.9752
      S03       con_0014       inner      NaN       NaN       NaN    42.3900    0.0058    0.1329    0.1330    0.0058    0.1533    0.0000    0.9400
      S03       con_0014       outer      NaN       NaN       NaN    11.9690   -0.0273    0.2199    0.2215   -0.0222    0.2226    0.1003    1.9752
      S03       con_0015       total   0.2000    5.0000  160.7349    54.3590   -0.0245    0.1530    0.1550   -0.0246    0.1676    0.0460    1.7033
      S03       con_0015       inner      NaN       NaN       NaN    42.3900   -0.0308    0.1363    0.1397   -0.0280    0.1525    0.0071    1.1486
      S03       con_0015       outer      NaN       NaN       NaN    11.9690   -0.0024    0.1999    0.1999   -0.0074    0.2362    0.1838    1.7033
      S03       con_0016       total   0.2000    5.0000  160.7349    54.3590   -0.0231    0.3103    0.3111   -0.0180    0.3592    0.1306    2.4037
      S03       con_0016       inner      NaN       NaN       NaN    42.3900   -0.0057    0.2933    0.2933   -0.0025    0.3459    0.1156    1.7805
      S03       con_0016       outer      NaN       NaN       NaN    11.9690   -0.0847    0.3574    0.3673   -0.0776    0.4049    0.1838    2.4037
      S03       con_0017       total   0.2000    5.0000  160.7349    54.3590   -0.1651    0.3996    0.4323   -0.1551    0.4248    0.4342    3.2631
      S03       con_0017       inner      NaN       NaN       NaN    42.3900   -0.1521    0.3660    0.3964   -0.1419    0.3983    0.2383    2.2113
      S03       con_0017       outer      NaN       NaN       NaN    11.9690   -0.2112    0.4979    0.5409   -0.2045    0.5397    1.1279    3.2631
      S03       con_0018       total   0.2000    5.0000  160.7349    54.3590    0.0710    0.2647    0.2741    0.0668    0.3187    0.3550    2.0226
      S03       con_0018       inner      NaN       NaN       NaN    42.3900    0.0732    0.2514    0.2618    0.0677    0.3115    0.2453    1.4928
      S03       con_0018       outer      NaN       NaN       NaN    11.9690    0.0633    0.3071    0.3135    0.0617    0.3485    0.7436    2.0226
      S03          ResMS       total   0.2000    5.0000  160.7349    54.3590    0.6654    0.2940    0.7275    0.6339    0.3664   10.0186    5.2586
      S03          ResMS       inner      NaN       NaN       NaN    42.3900    0.6097    0.2155    0.6467    0.5899    0.2843    4.8785    3.3588
      S03          ResMS       outer      NaN       NaN       NaN    11.9690    0.8626    0.4222    0.9604    0.8253    0.5350   28.2229    5.2586
      S04       con_0001       total   0.1900    5.0000  164.5084    59.2610    0.0066    0.0954    0.0956    0.0040    0.1006    0.0253    1.8640
      S04       con_0001       inner      NaN       NaN       NaN    45.9770    0.0036    0.0815    0.0816    0.0018    0.0942    0.0131    1.6207
      S04       con_0001       outer      NaN       NaN       NaN    13.2840    0.0170    0.1323    0.1334    0.0125    0.1263    0.0678    1.8640
      S04       con_0002       total   0.1900    5.0000  164.5084    59.2610   -0.0095    0.1312    0.1316   -0.0125    0.1215    0.0793    1.5741
      S04       con_0002       inner      NaN       NaN       NaN    45.9770   -0.0093    0.1081    0.1085   -0.0106    0.1108    0.0152    1.3576
      S04       con_0002       outer      NaN       NaN       NaN    13.2840   -0.0100    0.1907    0.1910   -0.0188    0.1740    0.3011    1.5741
      S04       con_0003       total   0.1900    5.0000  164.5084    59.2610    0.0328    0.1068    0.1117    0.0289    0.1181    0.0084    1.1131
      S04       con_0003       inner      NaN       NaN       NaN    45.9770    0.0292    0.0946    0.0990    0.0258    0.1099    0.0044    1.1019
      S04       con_0003       outer      NaN       NaN       NaN    13.2840    0.0451    0.1404    0.1475    0.0408    0.1509    0.0226    1.1131
      S04       con_0004       total   0.1900    5.0000  164.5084    59.2610   -0.1127    0.1884    0.2196   -0.1048    0.1747    0.0253    4.1449
      S04       con_0004       inner      NaN       NaN       NaN    45.9770   -0.0925    0.1609    0.1856   -0.0865    0.1597    0.0000    1.6798
      S04       con_0004       outer      NaN       NaN       NaN    13.2840   -0.1826    0.2500    0.3096   -0.1742    0.2271    0.1129    4.1449
      S04       con_0005       total   0.1900    5.0000  164.5084    59.2610   -0.1036    0.2084    0.2327   -0.0956    0.1973    0.0287    3.9530
      S04       con_0005       inner      NaN       NaN       NaN    45.9770   -0.0807    0.1800    0.1972   -0.0750    0.1833    0.0022    1.9553
      S04       con_0005       outer      NaN       NaN       NaN    13.2840   -0.1830    0.2711    0.3271   -0.1740    0.2459    0.1204    3.9530
      S04       con_0006       total   0.1900    5.0000  164.5084    59.2610    0.1111    0.1822    0.2134    0.1026    0.2070    0.2295    4.9186
      S04       con_0006       inner      NaN       NaN       NaN    45.9770    0.0915    0.1513    0.1768    0.0855    0.1854    0.0805    2.2167
      S04       con_0006       outer      NaN       NaN       NaN    13.2840    0.1789    0.2508    0.3081    0.1687    0.2629    0.7453    4.9186
      S04       con_0007       total   0.1900    5.0000  164.5084    59.2610    0.1193    0.2073    0.2392    0.1113    0.2463    0.2143    5.4161
      S04       con_0007       inner      NaN       NaN       NaN    45.9770    0.0961    0.1722    0.1971    0.0905    0.2198    0.0783    2.3417
      S04       con_0007       outer      NaN       NaN       NaN    13.2840    0.1996    0.2844    0.3475    0.1919    0.3066    0.6850    5.4161
      S04       con_0008       total   0.1900    5.0000  164.5084    59.2610    0.0941    0.2262    0.2450    0.0867    0.2755    0.3594    3.0198
      S04       con_0008       inner      NaN       NaN       NaN    45.9770    0.0713    0.1990    0.2114    0.0667    0.2477    0.1022    2.6407
      S04       con_0008       outer      NaN       NaN       NaN    13.2840    0.1730    0.2885    0.3364    0.1638    0.3438    1.2496    3.0198
      S04       con_0009       total   0.1900    5.0000  164.5084    59.2610    0.1067    0.2038    0.2301    0.0990    0.2511    0.1839    4.1481
      S04       con_0009       inner      NaN       NaN       NaN    45.9770    0.0837    0.1740    0.1931    0.0784    0.2229    0.0500    2.4912
      S04       con_0009       outer      NaN       NaN       NaN    13.2840    0.1863    0.2691    0.3273    0.1785    0.3107    0.6474    4.1481
      S04       con_0010       total   0.1900    5.0000  164.5084    59.2610   -0.0783    0.1698    0.1869   -0.0742    0.1678    0.0354    4.0991
      S04       con_0010       inner      NaN       NaN       NaN    45.9770   -0.0622    0.1453    0.1580   -0.0601    0.1585    0.0000    2.3115
      S04       con_0010       outer      NaN       NaN       NaN    13.2840   -0.1338    0.2271    0.2636   -0.1286    0.2037    0.1581    4.0991
      S04       con_0011       total   0.1900    5.0000  164.5084    59.2610    0.0342    0.1864    0.1895    0.0319    0.1933    0.1637    2.4368
      S04       con_0011       inner      NaN       NaN       NaN    45.9770    0.0321    0.1591    0.1623    0.0293    0.1779    0.0740    2.0696
      S04       con_0011       outer      NaN       NaN       NaN    13.2840    0.0416    0.2595    0.2628    0.0419    0.2585    0.4743    2.4368
      S04       con_0012       total   0.1900    5.0000  164.5084    59.2610    0.0342    0.1864    0.1895    0.0319    0.1933    0.1637    2.4368
      S04       con_0012       inner      NaN       NaN       NaN    45.9770    0.0321    0.1591    0.1623    0.0293    0.1779    0.0740    2.0696
      S04       con_0012       outer      NaN       NaN       NaN    13.2840    0.0416    0.2595    0.2628    0.0419    0.2585    0.4743    2.4368
      S04       con_0013       total   0.1900    5.0000  164.5084    59.2610   -0.0925    0.1820    0.2041   -0.0867    0.1776    0.0422    4.1236
      S04       con_0013       inner      NaN       NaN       NaN    45.9770   -0.0730    0.1547    0.1711   -0.0695    0.1652    0.0000    2.4013
      S04       con_0013       outer      NaN       NaN       NaN    13.2840   -0.1601    0.2428    0.2908   -0.1536    0.2233    0.1882    4.1236
      S04       con_0014       total   0.1900    5.0000  164.5084    59.2610   -0.1261    0.1865    0.2251   -0.1153    0.1698    0.0000    4.1734
